cases;deaths;country;pop2018;date
21;2;Andorra;77006;2020-04-12
18;1;Andorra;77006;2020-04-11
19;2;Andorra;77006;2020-04-10
19;1;Andorra;77006;2020-04-09
19;1;Andorra;77006;2020-04-08
25;3;Andorra;77006;2020-04-07
35;1;Andorra;77006;2020-04-06
27;1;Andorra;77006;2020-04-05
11;1;Andorra;77006;2020-04-04
38;1;Andorra;77006;2020-04-03
14;2;Andorra;77006;2020-04-02
6;4;Andorra;77006;2020-04-01
36;2;Andorra;77006;2020-03-31
26;2;Andorra;77006;2020-03-30
41;1;Andorra;77006;2020-03-29
43;0;Andorra;77006;2020-03-28
36;3;Andorra;77006;2020-03-27
24;0;Andorra;77006;2020-03-26
31;0;Andorra;77006;2020-03-25
20;0;Andorra;77006;2020-03-24
25;0;Andorra;77006;2020-03-23
13;0;Andorra;77006;2020-03-22
0;0;Andorra;77006;2020-03-21
22;0;Andorra;77006;2020-03-20
39;0;Andorra;77006;2020-03-19
0;0;Andorra;77006;2020-03-18
9;0;Andorra;77006;2020-03-17
3;0;Andorra;77006;2020-03-16
1;0;Andorra;77006;2020-03-14
1;0;Andorra;77006;2020-03-03
0;0;Angola;30809762;2020-04-22
0;0;Angola;30809762;2020-04-21
0;0;Angola;30809762;2020-04-20
5;0;Angola;30809762;2020-04-19
0;0;Angola;30809762;2020-04-18
0;0;Angola;30809762;2020-04-17
0;0;Angola;30809762;2020-04-16
0;0;Angola;30809762;2020-04-15
0;0;Angola;30809762;2020-04-14
0;0;Angola;30809762;2020-04-13
0;0;Angola;30809762;2020-04-12
0;0;Angola;30809762;2020-04-11
0;0;Angola;30809762;2020-04-10
2;0;Angola;30809762;2020-04-09
1;0;Angola;30809762;2020-04-08
2;0;Angola;30809762;2020-04-07
4;0;Angola;30809762;2020-04-06
2;0;Angola;30809762;2020-04-05
0;0;Angola;30809762;2020-04-04
0;0;Angola;30809762;2020-04-03
1;0;Angola;30809762;2020-04-02
0;0;Angola;30809762;2020-04-01
0;0;Angola;30809762;2020-03-31
3;2;Angola;30809762;2020-03-30
0;0;Angola;30809762;2020-03-29
1;0;Angola;30809762;2020-03-28
1;0;Angola;30809762;2020-03-27
0;0;Angola;30809762;2020-03-26
0;0;Angola;30809762;2020-03-25
0;0;Angola;30809762;2020-03-24
0;0;Angola;30809762;2020-03-23
2;0;Angola;30809762;2020-03-22
0;0;Anguilla;NA;2020-04-22
0;0;Anguilla;NA;2020-04-21
0;0;Anguilla;NA;2020-04-20
0;0;Anguilla;NA;2020-04-19
0;0;Anguilla;NA;2020-04-18
0;0;Anguilla;NA;2020-04-17
0;0;Anguilla;NA;2020-04-16
0;0;Anguilla;NA;2020-04-15
0;0;Anguilla;NA;2020-04-14
0;0;Anguilla;NA;2020-04-13
0;0;Anguilla;NA;2020-04-12
0;0;Anguilla;NA;2020-04-11
0;0;Anguilla;NA;2020-04-10
0;0;Anguilla;NA;2020-04-09
0;0;Anguilla;NA;2020-04-08
0;0;Anguilla;NA;2020-04-07
0;0;Anguilla;NA;2020-04-06
0;0;Anguilla;NA;2020-04-05
0;0;Anguilla;NA;2020-04-04
1;0;Anguilla;NA;2020-04-03
0;0;Anguilla;NA;2020-04-02
0;0;Anguilla;NA;2020-04-01
0;0;Anguilla;NA;2020-03-31
0;0;Anguilla;NA;2020-03-30
0;0;Anguilla;NA;2020-03-29
0;0;Anguilla;NA;2020-03-28
2;0;Anguilla;NA;2020-03-27
1;0;Antigua_and_Barbuda;96286;2020-04-22
0;1;Antigua_and_Barbuda;96286;2020-04-21
0;0;Antigua_and_Barbuda;96286;2020-04-20
0;0;Antigua_and_Barbuda;96286;2020-04-19
0;0;Antigua_and_Barbuda;96286;2020-04-18
0;0;Antigua_and_Barbuda;96286;2020-04-17
0;0;Antigua_and_Barbuda;96286;2020-04-16
0;0;Antigua_and_Barbuda;96286;2020-04-15
2;0;Antigua_and_Barbuda;96286;2020-04-14
0;0;Antigua_and_Barbuda;96286;2020-04-13
0;0;Antigua_and_Barbuda;96286;2020-04-12
2;0;Antigua_and_Barbuda;96286;2020-04-11
4;2;Antigua_and_Barbuda;96286;2020-04-10
0;0;Antigua_and_Barbuda;96286;2020-04-09
0;0;Antigua_and_Barbuda;96286;2020-04-08
0;0;Antigua_and_Barbuda;96286;2020-04-07
0;0;Antigua_and_Barbuda;96286;2020-04-06
0;0;Antigua_and_Barbuda;96286;2020-04-05
6;0;Antigua_and_Barbuda;96286;2020-04-04
2;0;Antigua_and_Barbuda;96286;2020-04-03
0;0;Antigua_and_Barbuda;96286;2020-04-02
0;0;Antigua_and_Barbuda;96286;2020-04-01
0;0;Antigua_and_Barbuda;96286;2020-03-31
0;0;Antigua_and_Barbuda;96286;2020-03-30
0;0;Antigua_and_Barbuda;96286;2020-03-29
0;0;Antigua_and_Barbuda;96286;2020-03-28
4;0;Antigua_and_Barbuda;96286;2020-03-27
0;0;Antigua_and_Barbuda;96286;2020-03-26
2;0;Antigua_and_Barbuda;96286;2020-03-25
0;0;Antigua_and_Barbuda;96286;2020-03-24
0;0;Antigua_and_Barbuda;96286;2020-03-23
0;0;Antigua_and_Barbuda;96286;2020-03-22
0;0;Antigua_and_Barbuda;96286;2020-03-21
1;0;Antigua_and_Barbuda;96286;2020-03-15
112;9;Argentina;44494502;2020-04-22
90;8;Argentina;44494502;2020-04-21
102;2;Argentina;44494502;2020-04-20
170;10;Argentina;44494502;2020-04-19
98;7;Argentina;44494502;2020-04-18
128;6;Argentina;44494502;2020-04-17
0;4;Argentina;44494502;2020-04-16
160;7;Argentina;44494502;2020-04-15
69;3;Argentina;44494502;2020-04-14
66;6;Argentina;44494502;2020-04-13
162;7;Argentina;44494502;2020-04-12
81;3;Argentina;44494502;2020-04-11
99;14;Argentina;44494502;2020-04-10
80;5;Argentina;44494502;2020-04-09
87;7;Argentina;44494502;2020-04-08
74;7;Argentina;44494502;2020-04-07
103;3;Argentina;44494502;2020-04-06
186;6;Argentina;44494502;2020-04-05
132;3;Argentina;44494502;2020-04-04
0;3;Argentina;44494502;2020-04-03
167;7;Argentina;44494502;2020-04-02
0;0;Argentina;44494502;2020-04-01
146;4;Argentina;44494502;2020-03-31
75;1;Argentina;44494502;2020-03-30
55;2;Argentina;44494502;2020-03-29
101;5;Argentina;44494502;2020-03-28
87;4;Argentina;44494502;2020-03-27
115;2;Argentina;44494502;2020-03-26
86;2;Argentina;44494502;2020-03-25
35;0;Argentina;44494502;2020-03-24
41;0;Argentina;44494502;2020-03-23
67;1;Argentina;44494502;2020-03-22
30;0;Argentina;44494502;2020-03-21
31;1;Argentina;44494502;2020-03-20
18;0;Argentina;44494502;2020-03-19
14;0;Argentina;44494502;2020-03-18
9;0;Argentina;44494502;2020-03-17
11;0;Argentina;44494502;2020-03-16
11;0;Argentina;44494502;2020-03-15
3;1;Argentina;44494502;2020-03-14
12;0;Argentina;44494502;2020-03-13
7;0;Argentina;44494502;2020-03-11
3;0;Argentina;44494502;2020-03-09
1;1;Argentina;44494502;2020-03-08
6;0;Argentina;44494502;2020-03-07
1;0;Argentina;44494502;2020-03-06
1;0;Argentina;44494502;2020-03-04
72;0;Armenia;2951776;2020-04-22
62;2;Armenia;2951776;2020-04-21
48;2;Armenia;2951776;2020-04-20
43;0;Armenia;2951776;2020-04-19
47;1;Armenia;2951776;2020-04-18
42;1;Armenia;2951776;2020-04-17
48;1;Armenia;2951776;2020-04-16
72;3;Armenia;2951776;2020-04-15
26;1;Armenia;2951776;2020-04-14
46;0;Armenia;2951776;2020-04-13
30;2;Armenia;2951776;2020-04-12
16;1;Armenia;2951776;2020-04-11
40;1;Armenia;2951776;2020-04-10
28;1;Armenia;2951776;2020-04-09
20;0;Armenia;2951776;2020-04-08
11;1;Armenia;2951776;2020-04-07
52;0;Armenia;2951776;2020-04-06
34;0;Armenia;2951776;2020-04-05
73;3;Armenia;2951776;2020-04-04
92;1;Armenia;2951776;2020-04-03
39;0;Armenia;2951776;2020-04-02
50;0;Armenia;2951776;2020-04-01
58;0;Armenia;2951776;2020-03-31
0;0;Armenia;2951776;2020-03-30
52;2;Armenia;2951776;2020-03-29
43;0;Armenia;2951776;2020-03-28
39;1;Armenia;2951776;2020-03-27
25;0;Armenia;2951776;2020-03-26
71;0;Armenia;2951776;2020-03-25
4;0;Armenia;2951776;2020-03-24
30;0;Armenia;2951776;2020-03-23
24;0;Armenia;2951776;2020-03-22
14;0;Armenia;2951776;2020-03-21
7;0;Armenia;2951776;2020-03-20
37;0;Armenia;2951776;2020-03-19
26;0;Armenia;2951776;2020-03-18
22;0;Armenia;2951776;2020-03-17
10;0;Armenia;2951776;2020-03-16
7;0;Armenia;2951776;2020-03-15
7;0;Armenia;2951776;2020-03-14
2;0;Armenia;2951776;2020-03-13
3;0;Armenia;2951776;2020-03-12
0;0;Armenia;2951776;2020-03-02
1;0;Armenia;2951776;2020-03-01
0;0;Armenia;2951776;2020-02-29
0;0;Armenia;2951776;2020-02-28
0;0;Armenia;2951776;2020-02-27
0;0;Armenia;2951776;2020-02-26
0;0;Armenia;2951776;2020-02-25
0;0;Armenia;2951776;2020-02-24
0;0;Armenia;2951776;2020-02-23
0;0;Armenia;2951776;2020-02-22
0;0;Armenia;2951776;2020-02-21
0;0;Armenia;2951776;2020-02-20
0;0;Armenia;2951776;2020-02-19
0;0;Armenia;2951776;2020-02-18
0;0;Armenia;2951776;2020-02-17
0;0;Armenia;2951776;2020-02-16
0;0;Armenia;2951776;2020-02-15
0;0;Armenia;2951776;2020-02-14
0;0;Armenia;2951776;2020-02-13
0;0;Armenia;2951776;2020-02-12
0;0;Armenia;2951776;2020-02-11
0;0;Armenia;2951776;2020-02-10
0;0;Armenia;2951776;2020-02-09
0;0;Armenia;2951776;2020-02-08
0;0;Armenia;2951776;2020-02-07
0;0;Armenia;2951776;2020-02-06
0;0;Armenia;2951776;2020-02-05
0;0;Armenia;2951776;2020-02-04
0;0;Armenia;2951776;2020-02-03
0;0;Armenia;2951776;2020-02-02
0;0;Armenia;2951776;2020-02-01
0;0;Armenia;2951776;2020-01-31
0;0;Armenia;2951776;2020-01-30
0;0;Armenia;2951776;2020-01-29
0;0;Armenia;2951776;2020-01-28
0;0;Armenia;2951776;2020-01-27
0;0;Armenia;2951776;2020-01-26
0;0;Armenia;2951776;2020-01-25
0;0;Armenia;2951776;2020-01-24
0;0;Armenia;2951776;2020-01-23
0;0;Armenia;2951776;2020-01-22
0;0;Armenia;2951776;2020-01-21
0;0;Armenia;2951776;2020-01-20
0;0;Armenia;2951776;2020-01-19
0;0;Armenia;2951776;2020-01-18
0;0;Armenia;2951776;2020-01-17
0;0;Armenia;2951776;2020-01-16
0;0;Armenia;2951776;2020-01-15
0;0;Armenia;2951776;2020-01-14
0;0;Armenia;2951776;2020-01-13
0;0;Armenia;2951776;2020-01-12
0;0;Armenia;2951776;2020-01-11
0;0;Armenia;2951776;2020-01-10
0;0;Armenia;2951776;2020-01-09
0;0;Armenia;2951776;2020-01-08
0;0;Armenia;2951776;2020-01-07
0;0;Armenia;2951776;2020-01-06
0;0;Armenia;2951776;2020-01-05
0;0;Armenia;2951776;2020-01-04
0;0;Armenia;2951776;2020-01-03
0;0;Armenia;2951776;2020-01-02
0;0;Armenia;2951776;2020-01-01
0;0;Armenia;2951776;2019-12-31
0;0;Aruba;105845;2020-04-22
0;0;Aruba;105845;2020-04-21
1;0;Aruba;105845;2020-04-20
0;0;Aruba;105845;2020-04-19
1;1;Aruba;105845;2020-04-18
2;0;Aruba;105845;2020-04-17
1;1;Aruba;105845;2020-04-16
0;0;Aruba;105845;2020-04-15
0;0;Aruba;105845;2020-04-14
0;0;Aruba;105845;2020-04-13
6;0;Aruba;105845;2020-04-12
4;0;Aruba;105845;2020-04-11
5;0;Aruba;105845;2020-04-10
3;0;Aruba;105845;2020-04-09
3;0;Aruba;105845;2020-04-08
7;0;Aruba;105845;2020-04-07
0;0;Aruba;105845;2020-04-06
2;0;Aruba;105845;2020-04-05
2;0;Aruba;105845;2020-04-04
5;0;Aruba;105845;2020-04-03
0;0;Aruba;105845;2020-04-02
5;0;Aruba;105845;2020-04-01
22;0;Aruba;105845;2020-03-30
0;0;Aruba;105845;2020-03-29
0;0;Aruba;105845;2020-03-28
9;0;Aruba;105845;2020-03-27
2;0;Aruba;105845;2020-03-26
5;0;Aruba;105845;2020-03-25
8;0;Aruba;105845;2020-03-24
2;0;Aruba;105845;2020-03-20
2;0;Aruba;105845;2020-03-13
22;3;Australia;24992369;2020-04-22
13;1;Australia;24992369;2020-04-21
26;1;Australia;24992369;2020-04-20
53;2;Australia;24992369;2020-04-19
36;4;Australia;24992369;2020-04-18
39;0;Australia;24992369;2020-04-17
42;2;Australia;24992369;2020-04-16
50;0;Australia;24992369;2020-04-15
44;0;Australia;24992369;2020-04-14
33;4;Australia;24992369;2020-04-13
51;3;Australia;24992369;2020-04-12
86;2;Australia;24992369;2020-04-11
100;2;Australia;24992369;2020-04-10
96;5;Australia;24992369;2020-04-09
112;3;Australia;24992369;2020-04-08
100;6;Australia;24992369;2020-04-07
57;2;Australia;24992369;2020-04-06
139;4;Australia;24992369;2020-04-05
324;7;Australia;24992369;2020-04-04
248;2;Australia;24992369;2020-04-03
269;1;Australia;24992369;2020-04-02
150;1;Australia;24992369;2020-04-01
464;3;Australia;24992369;2020-03-31
284;2;Australia;24992369;2020-03-30
431;1;Australia;24992369;2020-03-29
212;0;Australia;24992369;2020-03-28
367;2;Australia;24992369;2020-03-27
376;3;Australia;24992369;2020-03-26
600;1;Australia;24992369;2020-03-25
114;0;Australia;24992369;2020-03-24
611;0;Australia;24992369;2020-03-23
224;0;Australia;24992369;2020-03-22
165;1;Australia;24992369;2020-03-21
144;0;Australia;24992369;2020-03-20
111;1;Australia;24992369;2020-03-19
79;0;Australia;24992369;2020-03-18
77;0;Australia;24992369;2020-03-17
49;2;Australia;24992369;2020-03-16
52;0;Australia;24992369;2020-03-15
41;0;Australia;24992369;2020-03-14
